{ x = 893.24, y = -540.58, z = 58.51, h = 122.0 },
{ x = 952.83, y = -252.47, z = 67.96, h = 55.0 },
{ x = 930.58, y = -245.15, z = 69.0, h = 237.0 },
{ x = 921.0, y = -238.25, z = 70.39, h = 147.0 },
{ x = 880.49, y = -205.13, z = 71.98, h = 143.0 },
{ x = 840.81, y = -182.22, z = 74.59, h = 55.0 },
{ x = 859.01, y = -144.5, z = 78.98, h = 59.0 },
{ x = 808.74, y = -163.7, z = 75.88, h = 151.0 },
{ x = -34.28, y = -1847.08, z = 26.19, h = 233.0 },
{ x = -20.4, y = -1858.96, z = 25.41, h = 53.0 },
{ x = -4.76, y = -1872.22, z = 24.15, h = 53.0 },
{ x = 5.26, y = -1884.34, z = 23.7, h = 51.0 },
{ x = 23.06, y = -1897.01, z = 22.97, h = 317.0 },
{ x = 38.95, y = -1911.5, z = 21.95, h = 229.0 },
{ x = 56.46, y = -1922.72, z = 21.91, h = 324.0 },
{ x = 72.22, y = -1939.26, z = 21.37, h = 315.0 },
{ x = 76.27, y = -1948.06, z = 21.17, h = 230.0 },
{ x = 85.94, y = -1959.78, z = 21.12, h = 49.0 },
{ x = 114.44, y = -1961.18, z = 21.33, h = 25.0 },
{ x = 126.89, y = -1930.02, z = 21.38, h = 33.0 },
{ x = 118.48, y = -1921.05, z = 21.32, h = 50.0 },
{ x = 100.57, y = -1912.03, z = 21.41, h = 157.0 },
{ x = 54.44, y = -1873.05, z = 22.81, h = 135.0 },
{ x = 46.09, y = -1864.19, z = 23.28, h = 130.0 },
{ x = 29.99, y = -1854.77, z = 24.07, h = 42.0 },
{ x = 21.45, y = -1844.63, z = 24.6, h = 50.0 },
{ x = -42.0, y = -1792.11, z = 27.83, h = 136.0 },
{ x = -50.27, y = -1783.3, z = 28.3, h = 132.0 },
{ x = 104.09, y = -1885.36, z = 24.32, h = 321.0 },
{ x = 130.12, y = -1853.01, z = 25.23, h = 150.0 },
{ x = 150.08, y = -1864.68, z = 24.59, h = 155.0 },
{ x = 128.32, y = -1896.98, z = 23.67, h = 67.0 },
{ x = 148.37, y = -1904.41, z = 23.53, h = 334.0 },
{ x = 171.55, y = -1871.49, z = 24.4, h = 65.0 },
{ x = 191.87, y = -1883.02, z = 25.06, h = 150.0 },
{ x = 208.68, y = -1895.22, z = 24.81, h = 51.0 },
{ x = 178.82, y = -1923.48, z = 21.37, h = 153.0 },
{ x = 170.6, y = -1924.01, z = 21.19, h = 146.0 },
{ x = 165.11, y = -1945.02, z = 20.24, h = 234.0 },
{ x = 148.32, y = -1961.02, z = 19.46, h = 223.0 },
{ x = 144.33, y = -1968.95, z = 18.86, h = 144.0 },
{ x = 250.87, y = -1934.96, z = 24.7, h = 50.0 },
{ x = 258.37, y = -1927.12, z = 25.44, h = 147.0 },
{ x = 270.41, y = -1916.99, z = 26.18, h = 144.0 },
{ x = 282.66, y = -1899.43, z = 27.27, h = 48.0 },
{ x = 288.61, y = -1792.44, z = 28.09, h = 331.0 },
{ x = 300.16, y = -1783.6, z = 28.44, h = 139.0 },
{ x = 304.32, y = -1775.7, z = 29.1, h = 227.0 },
{ x = 320.63, y = -1759.77, z = 29.64, h = 226.0 },
{ x = 333.07, y = -1740.87, z = 29.73, h = 146.0 },
{ x = 348.64, y = -1820.95, z = 28.89, h = 319.0 },
{ x = 338.67, y = -1829.66, z = 28.34, h = 315.0 },
{ x = 329.47, y = -1845.89, z = 27.75, h = 47.0 },
{ x = 320.33, y = -1853.99, z = 27.51, h = 47.0 },
{ x = 443.48, y = -1707.33, z = 29.71, h = 46.0 },
{ x = 431.14, y = -1725.35, z = 29.6, h = 140.0 },
{ x = 419.28, y = -1735.54, z = 29.61, h = 140.0 },
{ x = 405.91, y = -1751.16, z = 29.71, h = 139.0 },
{ x = 500.77, y = -1697.2, z = 29.79, h = 141.0 },
{ x = 489.49, y = -1714.18, z = 29.71, h = 244.0 },
{ x = 479.63, y = -1735.64, z = 29.15, h = 163.0 },
{ x = 474.46, y = -1757.68, z = 29.09, h = 251.0 },
{ x = 472.06, y = -1775.18, z = 29.07, h = 267.0 },
{ x = 440.45, y = -1829.56, z = 28.36, h = 136.0 },
{ x = 427.12, y = -1842.08, z = 28.46, h = 320.0 },
{ x = 412.28, y = -1856.32, z = 27.32, h = 318.0 },
{ x = 399.22, y = -1864.99, z = 26.72, h = 314.0 },
{ x = 384.91, y = -1881.62, z = 26.03, h = 215.0 },
{ x = 368.78, y = -1895.72, z = 25.18, h = 134.0 },
{ x = 324.39, y = -1937.3, z = 25.02, h = 138.0 },
{ x = 311.99, y = -1956.08, z = 24.62, h = 229.0 },
{ x = 295.54, y = -1971.99, z = 22.9, h = 226.0 },
{ x = 291.58, y = -1980.11, z = 21.6, h = 142.0 },
{ x = 279.54, y = -1993.9, z = 20.8, h = 323.0 },
{ x = 256.44, y = -2023.39, z = 19.27, h = 232.0 },
{ x = 251.12, y = -2030.33, z = 18.71, h = 335.0 },
{ x = 495.43, y = -1823.51, z = 28.87, h = 321.0 },
{ x = 500.41, y = -1813.27, z = 28.89, h = 319.0 },
{ x = 512.61, y = -1790.61, z = 28.92, h = 92.0 },
{ x = 514.14, y = -1781.14, z = 28.91, h = 92.0 },
{ x = 250.04, y = -1730.86, z = 29.67, h = 54.0 },
{ x = 257.55, y = -1722.82, z = 29.65, h = 140.0 },
{ x = 269.7, y = -1712.77, z = 29.67, h = 142.0 },
{ x = 281.9, y = -1695.08, z = 29.65, h = 49.0 },
{ x = 252.98, y = -1670.77, z = 29.66, h = 140.0 },
{ x = 240.76, y = -1687.72, z = 29.7, h = 229.0 },
{ x = 222.63, y = -1702.52, z = 29.7, h = 215.0 },
{ x = 216.56, y = -1717.44, z = 29.68, h = 311.0 },
{ x = 197.57, y = -1725.67, z = 29.66, h = 300.0 },
{ x = 16.79, y = -1443.82, z = 30.95, h = 152.0 },
{ x = -2.06, y = -1442.06, z = 30.96, h = 182.0 },
{ x = -32.29, y = -1446.48, z = 31.89, h = 88.0 },
{ x = -45.5, y = -1445.55, z = 32.43, h = 103.0 },
{ x = -64.61, y = -1449.44, z = 32.52, h = 276.0 },
{ x = -884.24, y = -1072.57, z = 2.53, h = 32.0 },
{ x = -903.24, y = -1005.95, z = 2.15, h = 31.0 },
{ x = -948.13, y = -910.62, z = 2.75, h = 300.0 },
{ x = -951.47, y = -906.01, z = 2.75, h = 297.0 },
{ x = -1022.48, y = -896.9, z = 5.41, h = 30.0 },
{ x = -1031.22, y = -903.05, z = 3.69, h = 23.0 },
{ x = -1043.65, y = -923.77, z = 3.15, h = 211.0 },
{ x = -1053.96, y = -932.43, z = 3.36, h = 209.0 },
{ x = -1061.87, y = -942.73, z = 2.22, h = 212.0 },
{ x = -1084.34, y = -951.82, z = 2.36, h = 123.0 },
{ x = -1151.51, y = -990.43, z = 2.15, h = 213.0 },
{ x = -1750.57, y = -697.53, z = 10.18, h = 319.0 },
{ x = -1771.17, y = -677.47, z = 10.39, h = 306.0 },
{ x = -1787.87, y = -671.87, z = 10.65, h = 52.0 },
{ x = -1793.44, y = -663.82, z = 10.6, h = 143.0 },
{ x = -1803.72, y = -662.07, z = 10.73, h = 227.0 },
{ x = -1820.05, y = -649.8, z = 10.97, h = 237.0 },
{ x = -1836.48, y = -631.91, z = 10.75, h = 52.0 },
{ x = -1838.95, y = -629.5, z = 11.25, h = 232.0 },
{ x = -1874.58, y = -592.99, z = 11.89, h = 224.0 },
{ x = -1883.41, y = -578.94, z = 11.83, h = 322.0 },
{ x = -1898.51, y = -572.42, z = 11.85, h = 232.0 },
{ x = -1917.79, y = -558.93, z = 11.85, h = 48.0 },
{ x = -1919.07, y = -555.49, z = 11.76, h = 136.0 },
{ x = -1918.76, y = -542.58, z = 11.83, h = 313.0 },
{ x = -1947.05, y = -544.07, z = 11.86, h = 235.0 },
{ x = -1948.1, y = -531.66, z = 11.83, h = 228.0 },
{ x = -1964.3, y = -520.82, z = 12.18, h = 56.0 },
